,date,call_arrive_time,agent_id,serve_time,score_call,type_call,score_agent,type_agent
603,11/1/2022,14:57:41,2,745,0.1120891,2,29.28571429,2
604,11/1/2022,14:57:42,52,300,0.11863,2,39.13043478,2
605,11/1/2022,14:57:54,43,57,0.0506981,3,50,1
606,11/1/2022,14:58:13,19,272,0.0862074,2,35.18518519,1
607,11/1/2022,14:58:20,13,654,0.0404346,3,15.71428571,4
608,11/1/2022,14:58:32,29,680,0.064006,2,5,4
609,11/1/2022,14:58:44,18,1514,0.0723091,2,32.85714286,2
610,11/1/2022,14:59:41,7,1465,0.1507982,1,22.85714286,3
611,11/1/2022,15:00:40,55,273,0.0357119,3,0,4
612,11/1/2022,15:01:06,11,48,0.0482986,3,25.71428571,3
613,11/1/2022,15:01:53,6,1934,0.2202063,1,17.85714286,3
614,11/1/2022,15:01:56,50,319,0.1049069,2,12.14285714,4
615,11/1/2022,15:02:25,25,115,0.0402895,3,5.714285714,4
616,11/1/2022,15:02:55,27,32,0.0800255,2,22.22222222,3
617,11/1/2022,15:04:41,58,157,0.0482431,3,42.59259259,1
618,11/1/2022,15:04:52,11,1574,0.1125723,2,25.71428571,3
619,11/1/2022,15:04:53,26,1278,0.0445263,3,32.14285714,2
620,11/1/2022,15:05:25,39,349,0.0460994,3,20.71428571,3
621,11/1/2022,15:06:13,41,66,0.1252006,1,38.88888889,1
622,11/1/2022,15:06:16,37,685,0.0487696,3,2.142857143,4
623,11/1/2022,15:06:30,42,698,0.0844896,2,47.85714286,1
624,11/1/2022,15:07:09,23,163,0.147927,1,37.14285714,1
625,11/1/2022,15:07:24,1,970,0.186377,1,25,3
626,11/1/2022,15:07:27,20,295,0.1254505,1,18.51851852,3
627,11/1/2022,15:08:03,27,406,0.251182,1,22.22222222,3
628,11/1/2022,15:08:04,22,21,0.0506981,3,18.57142857,3
629,11/1/2022,15:08:11,21,1089,0.1307335,1,9.285714286,4
630,11/1/2022,15:08:44,44,2633,0.1674562,1,34.28571429,2
631,11/1/2022,15:09:28,22,792,0.1797974,1,18.57142857,3
632,11/1/2022,15:09:56,2,494,0.0745673,2,29.28571429,2
633,11/1/2022,15:10:04,23,1130,0.1828955,1,37.14285714,1
634,11/1/2022,15:10:11,52,32,0.1507954,1,39.13043478,2
635,11/1/2022,15:10:14,19,987,0.1700223,1,35.18518519,1
636,11/1/2022,15:10:38,54,1928,0.044878,3,15.2173913,4
637,11/1/2022,15:11:10,25,80,0.0409263,3,5.714285714,4
638,11/1/2022,15:11:10,48,48,0.1593566,1,4.545454546,4
639,11/1/2022,15:11:19,31,786,0.1263271,1,45,1
640,11/1/2022,15:12:02,46,1090,0.0577582,2,17.39130435,4
641,11/1/2022,15:12:06,50,198,0.2688463,1,12.14285714,4
642,11/1/2022,15:12:44,55,40,0.050788,3,0,4
643,11/1/2022,15:12:56,13,200,0.0451163,3,15.71428571,4
644,11/1/2022,15:13:00,38,56,0.1593566,1,3.703703704,4
645,11/1/2022,15:14:25,30,1828,0.1229859,2,16.42857143,4
646,11/1/2022,15:14:47,15,629,0.1959779,1,31.42857143,2
647,11/1/2022,15:15:41,24,1381,0.0800744,2,14.28571429,4
648,11/1/2022,15:16:23,52,546,0.1260643,1,39.13043478,2
649,11/1/2022,15:16:31,55,939,0.1613727,1,0,4
650,11/1/2022,15:17:03,32,3351,0.1505009,1,2.857142857,4
651,11/1/2022,15:17:06,35,641,0.1263271,1,30.71428571,2
652,11/1/2022,15:17:35,25,1506,0.053297,3,5.714285714,4
653,11/1/2022,15:18:37,41,178,0.0962233,2,38.88888889,1
654,11/1/2022,15:19:03,42,603,0.0487696,3,47.85714286,1
655,11/1/2022,15:19:28,16,566,0.1263271,1,33.57142857,2
656,11/1/2022,15:19:52,34,1260,0.1372847,1,4.285714286,4
657,11/1/2022,15:20:09,9,348,0.0487696,3,30,2
658,11/1/2022,15:20:15,47,3492,0.1140301,2,49.28571429,1
659,11/1/2022,15:20:19,49,56,0.0269587,3,25,3
660,11/1/2022,15:22:17,4,1054,0.0786097,2,40,1
661,11/1/2022,15:23:01,13,312,0.031792,3,15.71428571,4
662,11/1/2022,15:23:18,20,65,0.0254015,3,18.51851852,3
663,11/1/2022,15:23:30,60,962,0.0433924,3,7.142857143,4
664,11/1/2022,15:23:56,51,304,0.089684,2,12.85714286,4
665,11/1/2022,15:24:04,39,765,0.1805781,1,20.71428571,3
666,11/1/2022,15:24:27,8,653,0.1197098,2,46.42857143,1
667,11/1/2022,15:24:28,31,100,0.0593978,2,45,1
668,11/1/2022,15:25:18,37,4635,0.089684,2,2.142857143,4
669,11/1/2022,15:25:20,18,757,0.1590003,1,32.85714286,2
670,11/1/2022,15:26:44,22,1501,0.186377,1,18.57142857,3
671,11/1/2022,15:26:56,10,85,0.210625,1,24.28571429,3
672,11/1/2022,15:27:04,57,514,0.1545892,1,40.74074074,1
673,11/1/2022,15:27:45,31,377,0.0933769,2,45,1
674,11/1/2022,15:28:09,28,218,0.077844,2,14.81481481,3
675,11/1/2022,15:29:31,42,1888,0.1043384,2,47.85714286,1
676,11/1/2022,15:29:49,35,1116,0.0545796,3,30.71428571,2
677,11/1/2022,15:30:17,16,594,0.1653681,1,33.57142857,2
678,11/1/2022,15:30:35,27,733,0.1385266,1,22.22222222,3
679,11/1/2022,15:30:35,52,1540,0.186377,1,39.13043478,2
680,11/1/2022,15:30:46,5,1017,0.1415511,1,30.43478261,3
681,11/1/2022,15:31:50,9,967,0.1646745,1,30,2
682,11/1/2022,15:32:10,29,643,0.1263271,1,5,4
683,11/1/2022,15:32:46,10,874,0.1507954,1,24.28571429,3
684,11/1/2022,15:32:53,26,1198,0.14636,1,32.14285714,2
685,11/1/2022,15:32:56,14,931,0.1152337,2,42.85714286,1
686,11/1/2022,15:33:03,40,111,0.1967887,1,16.66666667,3
687,11/1/2022,15:34:28,61,74,0.0470913,3,43.47826087,1
688,11/1/2022,15:35:34,31,1021,0.0531638,3,45,1
689,11/1/2022,15:36:24,13,627,0.157427,1,15.71428571,4
690,11/1/2022,15:36:28,46,1650,0.1080809,2,17.39130435,4
691,11/1/2022,15:36:41,58,240,0.1645824,1,42.59259259,1
692,11/1/2022,15:36:42,8,1073,0.1567083,1,46.42857143,1
693,11/1/2022,15:38:05,18,434,0.0470724,3,32.85714286,2
694,11/1/2022,15:38:15,61,480,0.0573651,2,43.47826087,1
695,11/1/2022,15:38:23,19,99,0.1252006,1,35.18518519,1
696,11/1/2022,15:38:27,50,571,0.0528503,3,12.14285714,4
697,11/1/2022,15:38:33,23,1898,0.1887072,1,37.14285714,1
698,11/1/2022,15:38:51,2,316,0.0549997,3,29.28571429,2
699,11/1/2022,15:39:11,16,117,0.069161,2,33.57142857,2
700,11/1/2022,15:39:20,7,1091,0.151159,1,22.85714286,3
701,11/1/2022,15:39:25,17,2013,0.1421747,1,5.555555556,4
702,11/1/2022,15:39:33,6,635,0.1222534,2,17.85714286,3
703,11/1/2022,15:39:46,15,632,0.1613992,1,31.42857143,2
704,11/1/2022,15:39:52,45,111,0.1252006,1,20.37037037,3
705,11/1/2022,15:41:12,24,819,0.0702204,2,14.28571429,4
706,11/1/2022,15:41:24,60,386,0.0487226,3,7.142857143,4
707,11/1/2022,15:41:24,28,1285,0.1877144,1,14.81481481,3
708,11/1/2022,15:42:26,38,82,0.1252006,1,3.703703704,4
709,11/1/2022,15:42:30,3,208,0.0471418,3,17.14285714,4
710,11/1/2022,15:43:01,62,1149,0.1932493,1,34.7826087,3
711,11/1/2022,15:43:48,34,1211,0.177209,1,4.285714286,4
712,11/1/2022,15:44:36,20,1468,0.0961659,2,18.51851852,3
713,11/1/2022,15:44:52,40,72,0.0527514,3,16.66666667,3
714,11/1/2022,15:45:23,16,199,0.1263271,1,33.57142857,2
715,11/1/2022,15:45:25,29,772,0.0473536,3,5,4
716,11/1/2022,15:46:59,36,262,0.050788,3,45.71428571,1
