,date,call_arrive_time,agent_id,serve_time,type_call,type_agent,,,score_call,score_agent
289,11/1/2022,09:33:40,78,184,?,2,,,?,40.625
290,11/1/2022,09:33:46,60,327,1,4,,,0.1251462,1.851851852
291,11/1/2022,09:33:48,50,1110,?,2,,,?,26.66666667
292,11/1/2022,09:34:00,24,785,?,3,,,?,18.75
293,11/1/2022,09:34:30,12,198,?,3,,,?,11.36363636
294,11/1/2022,09:34:46,57,25,3,3,,,0.0558089,25.71428571
295,11/1/2022,09:34:47,23,135,?,1,,,?,40.54054054
296,11/1/2022,09:34:56,78,182,?,2,,,?,40.625
297,11/1/2022,09:35:00,70,332,?,2,,,?,27.02702703
298,11/1/2022,09:35:00,18,332,?,3,,,?,23.57142857
299,11/1/2022,09:35:26,72,1137,2,4,,,0.1150025,5.555555556
300,11/1/2022,09:35:47,81,99,2,1,,,0.1124653,37.14285714
301,11/1/2022,09:35:49,46,410,?,1,,,?,39.28571429
302,11/1/2022,09:35:57,82,771,?,1,,,?,48.14814815
303,11/1/2022,09:36:11,42,362,?,3,,,?,9.090909091
304,11/1/2022,09:36:17,40,718,?,2,,,?,31.81818182
305,11/1/2022,09:36:42,83,1310,?,1,,,?,25
306,11/1/2022,09:36:45,77,1072,2,3,,,?,18.57142857
307,11/1/2022,09:36:49,80,443,?,2,,,?,34.375
308,11/1/2022,09:36:57,19,1188,1,1,,,0.1523328,40
309,11/1/2022,09:36:59,84,158,3,4,,,0.0547368,14.28571429
310,11/1/2022,09:37:02,73,316,3,2,,,0.0494224,32.85714286
311,11/1/2022,09:37:21,36,996,?,1,,,?,46.66666667
312,11/1/2022,09:37:40,85,128,3,4,,,0.0408418,5.714285714
313,11/1/2022,09:38:03,86,557,1,2,,,0.1646745,32.14285714
314,11/1/2022,09:38:08,48,285,?,1,,,?,46.2962963
315,11/1/2022,09:38:19,87,137,3,3,,,0.028768,22.22222222
316,11/1/2022,09:38:25,23,155,?,1,,,?,40.54054054
317,11/1/2022,09:38:31,88,199,2,3,,,0.0807114,14.81481481
318,11/1/2022,09:38:39,58,500,?,4,,,?,0
319,11/1/2022,09:38:39,78,457,?,2,,,?,40.625
320,11/1/2022,09:38:45,16,46,?,2,,,?,40
321,11/1/2022,09:38:49,89,53,?,3,,,?,14.86486486
322,11/1/2022,09:39:23,71,1105,2,2,,,0.1124653,33.57142857
323,11/1/2022,09:39:26,51,3387,?,1,,,?,42.14285714
324,11/1/2022,09:39:40,63,155,?,3,,,?,29.62962963
325,11/1/2022,09:39:42,22,405,2,3,,,0.1073917,30.43478261
326,11/1/2022,09:40:24,66,1051,1,1,,,0.1610666,42.85714286
327,11/1/2022,09:40:34,45,593,1,2,,,0.1525921,30
328,11/1/2022,09:40:45,61,1235,?,3,,,?,6.25
329,11/1/2022,09:41:08,64,106,?,2,,,?,31.48148148
